Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
25	2394	1	98	1.0	1.0	98.0	95.76	26	2492	1	98	1.0	1.04	98.0	99.68	ping
26	2492	1	98	1.0	1.0	98.0	95.84615384615384	26	2492	1	98	1.0	1.04	98.0	99.68	ping
26	2492	1	98	1.0	1.0	98.0	95.84615384615384	27	2590	1	98	1.0	1.0384615384615385	98.0	99.61538461538461	ping
27	2590	1	98	1.0	1.0	98.0	95.92592592592592	27	2590	1	98	1.0	1.0384615384615385	98.0	99.61538461538461	ping
27	2590	1	98	1.0	1.0	98.0	95.92592592592592	28	2688	1	98	1.0	1.037037037037037	98.0	99.55555555555556	ping
28	2688	1	98	1.0	1.0	98.0	96.0	28	2688	1	98	1.0	1.037037037037037	98.0	99.55555555555556	ping
28	2688	1	98	1.0	1.0	98.0	96.0	29	2786	1	98	1.0	1.0357142857142858	98.0	99.5	ping
29	2786	1	98	1.0	1.0	98.0	96.06896551724138	29	2786	1	98	1.0	1.0357142857142858	98.0	99.5	ping
29	2786	1	98	1.0	1.0	98.0	96.06896551724138	30	2884	1	98	1.0	1.0344827586206897	98.0	99.44827586206897	ping
30	2884	1	98	1.0	1.0	98.0	96.13333333333334	30	2884	1	98	1.0	1.0344827586206897	98.0	99.44827586206897	ping
30	2884	1	98	1.0	1.0	98.0	96.13333333333334	31	2982	1	98	1.0	1.0333333333333334	98.0	99.4	ping
32	3024	2	140	2.0	1.032258064516129	140.0	97.54838709677419	31	2982	1	98	1.0	1.0333333333333334	98.0	99.4	ping
32	3024	2	140	2.0	1.032258064516129	140.0	97.54838709677419	33	3122	2	140	2.0	1.064516129032258	140.0	100.70967741935483	ping
33	3122	1	98	1.0	1.03125	98.0	97.5625	33	3122	2	140	2.0	1.064516129032258	140.0	100.70967741935483	ping
33	3122	1	98	1.0	1.03125	98.0	97.5625	34	3220	1	98	1.0	1.0625	98.0	100.625	ping
34	3220	1	98	1.0	1.0303030303030303	98.0	97.57575757575758	34	3220	1	98	1.0	1.0625	98.0	100.625	ping
34	3220	1	98	1.0	1.0303030303030303	98.0	97.57575757575758	35	3318	1	98	1.0	1.0606060606060606	98.0	100.54545454545455	ping
35	3318	1	98	1.0	1.0294117647058822	98.0	97.58823529411765	35	3318	1	98	1.0	1.0606060606060606	98.0	100.54545454545455	ping
35	3318	1	98	1.0	1.0294117647058822	98.0	97.58823529411765	36	3416	1	98	1.0	1.0588235294117647	98.0	100.47058823529412	ping
36	3416	1	98	1.0	1.0285714285714285	98.0	97.6	36	3416	1	98	1.0	1.0588235294117647	98.0	100.47058823529412	ping
36	3416	1	98	1.0	1.0285714285714285	98.0	97.6	37	3514	1	98	1.0	1.0571428571428572	98.0	100.4	ping
37	3514	1	98	1.0	1.0277777777777777	98.0	97.61111111111111	37	3514	1	98	1.0	1.0571428571428572	98.0	100.4	ping
37	3514	1	98	1.0	1.0277777777777777	98.0	97.61111111111111	38	3612	1	98	1.0	1.0555555555555556	98.0	100.33333333333333	ping
38	3612	1	98	1.0	1.027027027027027	98.0	97.62162162162163	38	3612	1	98	1.0	1.0555555555555556	98.0	100.33333333333333	ping
38	3612	1	98	1.0	1.027027027027027	98.0	97.62162162162163	39	3710	1	98	1.0	1.054054054054054	98.0	100.27027027027027	ping
39	3710	1	98	1.0	1.0263157894736843	98.0	97.63157894736842	39	3710	1	98	1.0	1.054054054054054	98.0	100.27027027027027	ping
39	3710	1	98	1.0	1.0263157894736843	98.0	97.63157894736842	40	3808	1	98	1.0	1.0526315789473684	98.0	100.21052631578948	ping
40	3808	1	98	1.0	1.0256410256410255	98.0	97.64102564102564	40	3808	1	98	1.0	1.0526315789473684	98.0	100.21052631578948	ping
40	3808	1	98	1.0	1.0256410256410255	98.0	97.64102564102564	41	3906	1	98	1.0	1.0512820512820513	98.0	100.15384615384616	ping
41	3906	1	98	1.0	1.025	98.0	97.65	41	3906	1	98	1.0	1.0512820512820513	98.0	100.15384615384616	ping
41	3906	1	98	1.0	1.025	98.0	97.65	42	4004	1	98	1.0	1.05	98.0	100.1	ping
42	4004	1	98	1.0	1.024390243902439	98.0	97.65853658536585	42	4004	1	98	1.0	1.05	98.0	100.1	ping
42	4004	1	98	1.0	1.024390243902439	98.0	97.65853658536585	43	4102	1	98	1.0	1.048780487804878	98.0	100.04878048780488	ping
43	4102	1	98	1.0	1.0238095238095237	98.0	97.66666666666667	43	4102	1	98	1.0	1.048780487804878	98.0	100.04878048780488	ping
43	4102	1	98	1.0	1.0238095238095237	98.0	97.66666666666667	44	4200	1	98	1.0	1.0476190476190477	98.0	100.0	ping
44	4200	1	98	1.0	1.0232558139534884	98.0	97.67441860465117	44	4200	1	98	1.0	1.0476190476190477	98.0	100.0	ping
44	4200	1	98	1.0	1.0232558139534884	98.0	97.67441860465117	45	4298	1	98	1.0	1.0465116279069768	98.0	99.95348837209302	ping
45	4298	1	98	1.0	1.0227272727272727	98.0	97.68181818181819	45	4298	1	98	1.0	1.0465116279069768	98.0	99.95348837209302	ping
45	4298	1	98	1.0	1.0227272727272727	98.0	97.68181818181819	46	4396	1	98	1.0	1.0454545454545454	98.0	99.9090909090909	ping
46	4396	1	98	1.0	1.0222222222222221	98.0	97.68888888888888	46	4396	1	98	1.0	1.0454545454545454	98.0	99.9090909090909	ping
46	4396	1	98	1.0	1.0222222222222221	98.0	97.68888888888888	47	4494	1	98	1.0	1.0444444444444445	98.0	99.86666666666666	ping
47	4494	1	98	1.0	1.0217391304347827	98.0	97.69565217391305	47	4494	1	98	1.0	1.0444444444444445	98.0	99.86666666666666	ping
47	4494	1	98	1.0	1.0217391304347827	98.0	97.69565217391305	48	4592	1	98	1.0	1.0434782608695652	98.0	99.82608695652173	ping
49	4634	2	140	2.0	1.0425531914893618	140.0	98.59574468085107	48	4592	1	98	1.0	1.0434782608695652	98.0	99.82608695652173	ping
49	4634	2	140	2.0	1.0425531914893618	140.0	98.59574468085107	50	4732	2	140	2.0	1.0638297872340425	140.0	100.68085106382979	ping
50	4732	1	98	1.0	1.0416666666666667	98.0	98.58333333333333	50	4732	2	140	2.0	1.0638297872340425	140.0	100.68085106382979	ping
50	4732	1	98	1.0	1.0416666666666667	98.0	98.58333333333333	51	4830	1	98	1.0	1.0625	98.0	100.625	ping
51	4830	1	98	1.0	1.0408163265306123	98.0	98.57142857142857	51	4830	1	98	1.0	1.0625	98.0	100.625	ping
51	4830	1	98	1.0	1.0408163265306123	98.0	98.57142857142857	52	4928	1	98	1.0	1.0612244897959184	98.0	100.57142857142857	ping
52	4928	1	98	1.0	1.04	98.0	98.56	52	4928	1	98	1.0	1.0612244897959184	98.0	100.57142857142857	ping
52	4928	1	98	1.0	1.04	98.0	98.56	53	5026	1	98	1.0	1.06	98.0	100.52	ping
53	5026	1	98	1.0	1.0392156862745099	98.0	98.54901960784314	53	5026	1	98	1.0	1.06	98.0	100.52	ping
53	5026	1	98	1.0	1.0392156862745099	98.0	98.54901960784314	54	5124	1	98	1.0	1.0588235294117647	98.0	100.47058823529412	ping
54	5124	1	98	1.0	1.0384615384615385	98.0	98.53846153846153	54	5124	1	98	1.0	1.0588235294117647	98.0	100.47058823529412	ping
54	5124	1	98	1.0	1.0384615384615385	98.0	98.53846153846153	55	5222	1	98	1.0	1.0576923076923077	98.0	100.42307692307692	ping
54	5124	0	0	0.0	1.0188679245283019	0.0	96.67924528301887	55	5222	1	98	1.0	1.0576923076923077	98.0	100.42307692307692	ping
54	5124	0	0	0.0	1.0188679245283019	0.0	96.67924528301887	55	5222	0	0	0.0	1.0377358490566038	0.0	98.52830188679245	ping
55	5222	1	98	1.0	1.0185185185185186	98.0	96.70370370370371	55	5222	0	0	0.0	1.0377358490566038	0.0	98.52830188679245	ping
55	5222	1	98	1.0	1.0185185185185186	98.0	96.70370370370371	56	5320	1	98	1.0	1.037037037037037	98.0	98.51851851851852	ping
56	5320	1	98	1.0	1.018181818181818	98.0	96.72727272727273	56	5320	1	98	1.0	1.037037037037037	98.0	98.51851851851852	ping
56	5320	1	98	1.0	1.018181818181818	98.0	96.72727272727273	57	5418	1	98	1.0	1.0363636363636364	98.0	98.50909090909092	ping
57	5418	1	98	1.0	1.0178571428571428	98.0	96.75	57	5418	1	98	1.0	1.0363636363636364	98.0	98.50909090909092	ping
57	5418	1	98	1.0	1.0178571428571428	98.0	96.75	58	5516	1	98	1.0	1.0357142857142858	98.0	98.5	ping
