Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
24	1620	0	0	0.0	1.0434782608695652	0.0	70.43478260869566	1000	155604	36	4805	36.0	45.45454545454545	4805.0	7072.909090909091	voice
24	1620	0	0	0.0	1.0434782608695652	0.0	70.43478260869566	1048	163188	48	7584	48.0	45.56521739130435	7584.0	7095.130434782609	voice
24	1620	0	0	0.0	1.0	0.0	67.5	1048	163188	48	7584	48.0	45.56521739130435	7584.0	7095.130434782609	voice
24	1620	0	0	0.0	1.0	0.0	67.5	1096	170772	48	7584	48.0	45.666666666666664	7584.0	7115.5	voice
24	1620	0	0	0.0	0.96	0.0	64.8	1096	170772	48	7584	48.0	45.666666666666664	7584.0	7115.5	voice
24	1620	0	0	0.0	0.96	0.0	64.8	1143	178198	47	7426	47.0	45.72	7426.0	7127.92	voice
24	1620	0	0	0.0	0.9230769230769231	0.0	62.30769230769231	1143	178198	47	7426	47.0	45.72	7426.0	7127.92	voice
24	1620	0	0	0.0	0.9230769230769231	0.0	62.30769230769231	1189	185466	46	7268	46.0	45.73076923076923	7268.0	7133.307692307692	voice
24	1620	0	0	0.0	0.8888888888888888	0.0	60.0	1189	185466	46	7268	46.0	45.73076923076923	7268.0	7133.307692307692	voice
24	1620	0	0	0.0	0.8888888888888888	0.0	60.0	1237	193050	48	7584	48.0	45.81481481481482	7584.0	7150.0	voice
24	1620	0	0	0.0	0.8571428571428571	0.0	57.857142857142854	1237	193050	48	7584	48.0	45.81481481481482	7584.0	7150.0	voice
24	1620	0	0	0.0	0.8571428571428571	0.0	57.857142857142854	1286	200792	49	7742	49.0	45.92857142857143	7742.0	7171.142857142857	voice
24	1620	0	0	0.0	0.8275862068965517	0.0	55.86206896551724	1286	200792	49	7742	49.0	45.92857142857143	7742.0	7171.142857142857	voice
24	1620	0	0	0.0	0.8275862068965517	0.0	55.86206896551724	1334	208376	48	7584	48.0	46.0	7584.0	7185.379310344828	voice
24	1620	0	0	0.0	0.8	0.0	54.0	1334	208376	48	7584	48.0	46.0	7584.0	7185.379310344828	voice
24	1620	0	0	0.0	0.8	0.0	54.0	1382	215960	48	7584	48.0	46.06666666666667	7584.0	7198.666666666667	voice
24	1620	0	0	0.0	0.7741935483870968	0.0	52.25806451612903	1382	215960	48	7584	48.0	46.06666666666667	7584.0	7198.666666666667	voice
24	1620	0	0	0.0	0.7741935483870968	0.0	52.25806451612903	1431	223702	49	7742	49.0	46.16129032258065	7742.0	7216.193548387097	voice
25	1686	1	66	1.0	0.78125	66.0	52.6875	1431	223702	49	7742	49.0	46.16129032258065	7742.0	7216.193548387097	voice
25	1686	1	66	1.0	0.78125	66.0	52.6875	1452	226933	21	3231	21.0	45.375	3231.0	7091.65625	voice
34	2302	9	616	9.0	1.0303030303030303	616.0	69.75757575757575	1452	226933	21	3231	21.0	45.375	3231.0	7091.65625	voice
34	2302	9	616	9.0	1.0303030303030303	616.0	69.75757575757575	1489	231988	37	5055	37.0	45.121212121212125	5055.0	7029.939393939394	voice
34	2302	0	0	0.0	1.0	0.0	67.70588235294117	1489	231988	37	5055	37.0	45.121212121212125	5055.0	7029.939393939394	voice
34	2302	0	0	0.0	1.0	0.0	67.70588235294117	1537	239572	48	7584	48.0	45.205882352941174	7584.0	7046.235294117647	voice
34	2302	0	0	0.0	0.9714285714285714	0.0	65.77142857142857	1537	239572	48	7584	48.0	45.205882352941174	7584.0	7046.235294117647	voice
34	2302	0	0	0.0	0.9714285714285714	0.0	65.77142857142857	1585	247156	48	7584	48.0	45.285714285714285	7584.0	7061.6	voice
34	2302	0	0	0.0	0.9444444444444444	0.0	63.94444444444444	1585	247156	48	7584	48.0	45.285714285714285	7584.0	7061.6	voice
34	2302	0	0	0.0	0.9444444444444444	0.0	63.94444444444444	1632	254582	47	7426	47.0	45.333333333333336	7426.0	7071.722222222223	voice
34	2302	0	0	0.0	0.918918918918919	0.0	62.21621621621622	1632	254582	47	7426	47.0	45.333333333333336	7426.0	7071.722222222223	voice
34	2302	0	0	0.0	0.918918918918919	0.0	62.21621621621622	1680	262166	48	7584	48.0	45.4054054054054	7584.0	7085.5675675675675	voice
34	2302	0	0	0.0	0.8947368421052632	0.0	60.578947368421055	1680	262166	48	7584	48.0	45.4054054054054	7584.0	7085.5675675675675	voice
34	2302	0	0	0.0	0.8947368421052632	0.0	60.578947368421055	1729	269908	49	7742	49.0	45.5	7742.0	7102.8421052631575	voice
34	2302	0	0	0.0	0.8717948717948718	0.0	59.02564102564103	1729	269908	49	7742	49.0	45.5	7742.0	7102.8421052631575	voice
34	2302	0	0	0.0	0.8717948717948718	0.0	59.02564102564103	1778	277650	49	7742	49.0	45.58974358974359	7742.0	7119.2307692307695	voice
34	2302	0	0	0.0	0.85	0.0	57.55	1778	277650	49	7742	49.0	45.58974358974359	7742.0	7119.2307692307695	voice
34	2302	0	0	0.0	0.85	0.0	57.55	1827	285392	49	7742	49.0	45.675	7742.0	7134.8	voice
34	2302	0	0	0.0	0.8292682926829268	0.0	56.146341463414636	1827	285392	49	7742	49.0	45.675	7742.0	7134.8	voice
34	2302	0	0	0.0	0.8292682926829268	0.0	56.146341463414636	1875	292976	48	7584	48.0	45.73170731707317	7584.0	7145.756097560976	voice
34	2302	0	0	0.0	0.8095238095238095	0.0	54.80952380952381	1875	292976	48	7584	48.0	45.73170731707317	7584.0	7145.756097560976	voice
34	2302	0	0	0.0	0.8095238095238095	0.0	54.80952380952381	1923	300560	48	7584	48.0	45.785714285714285	7584.0	7156.190476190476	voice
35	2368	1	66	1.0	0.813953488372093	66.0	55.06976744186046	1923	300560	48	7584	48.0	45.785714285714285	7584.0	7156.190476190476	voice
35	2368	1	66	1.0	0.813953488372093	66.0	55.06976744186046	1944	303791	21	3231	21.0	45.2093023255814	3231.0	7064.906976744186	voice
44	2984	9	616	9.0	1.0	616.0	67.81818181818181	1944	303791	21	3231	21.0	45.2093023255814	3231.0	7064.906976744186	voice
44	2984	9	616	9.0	1.0	616.0	67.81818181818181	1981	308846	37	5055	37.0	45.02272727272727	5055.0	7019.227272727273	voice
44	2984	0	0	0.0	0.9777777777777777	0.0	66.31111111111112	1981	308846	37	5055	37.0	45.02272727272727	5055.0	7019.227272727273	voice
44	2984	0	0	0.0	0.9777777777777777	0.0	66.31111111111112	2029	316430	48	7584	48.0	45.08888888888889	7584.0	7031.777777777777	voice
44	2984	0	0	0.0	0.9565217391304348	0.0	64.8695652173913	2029	316430	48	7584	48.0	45.08888888888889	7584.0	7031.777777777777	voice
44	2984	0	0	0.0	0.9565217391304348	0.0	64.8695652173913	2078	324172	49	7742	49.0	45.17391304347826	7742.0	7047.217391304348	voice
44	2984	0	0	0.0	0.9361702127659575	0.0	63.48936170212766	2078	324172	49	7742	49.0	45.17391304347826	7742.0	7047.217391304348	voice
44	2984	0	0	0.0	0.9361702127659575	0.0	63.48936170212766	2126	331756	48	7584	48.0	45.234042553191486	7584.0	7058.63829787234	voice
44	2984	0	0	0.0	0.9166666666666666	0.0	62.166666666666664	2126	331756	48	7584	48.0	45.234042553191486	7584.0	7058.63829787234	voice
44	2984	0	0	0.0	0.9166666666666666	0.0	62.166666666666664	2174	339340	48	7584	48.0	45.291666666666664	7584.0	7069.583333333333	voice
44	2984	0	0	0.0	0.8979591836734694	0.0	60.89795918367347	2174	339340	48	7584	48.0	45.291666666666664	7584.0	7069.583333333333	voice
44	2984	0	0	0.0	0.8979591836734694	0.0	60.89795918367347	2222	346924	48	7584	48.0	45.3469387755102	7584.0	7080.081632653061	voice
44	2984	0	0	0.0	0.88	0.0	59.68	2222	346924	48	7584	48.0	45.3469387755102	7584.0	7080.081632653061	voice
44	2984	0	0	0.0	0.88	0.0	59.68	2270	354508	48	7584	48.0	45.4	7584.0	7090.16	voice
44	2984	0	0	0.0	0.8627450980392157	0.0	58.509803921568626	2270	354508	48	7584	48.0	45.4	7584.0	7090.16	voice
44	2984	0	0	0.0	0.8627450980392157	0.0	58.509803921568626	2319	362250	49	7742	49.0	45.470588235294116	7742.0	7102.941176470588	voice
44	2984	0	0	0.0	0.8461538461538461	0.0	57.38461538461539	2319	362250	49	7742	49.0	45.470588235294116	7742.0	7102.941176470588	voice
44	2984	0	0	0.0	0.8461538461538461	0.0	57.38461538461539	2368	369992	49	7742	49.0	45.53846153846154	7742.0	7115.2307692307695	voice
44	2984	0	0	0.0	0.8301886792452831	0.0	56.301886792452834	2368	369992	49	7742	49.0	45.53846153846154	7742.0	7115.2307692307695	voice
44	2984	0	0	0.0	0.8301886792452831	0.0	56.301886792452834	2416	377576	48	7584	48.0	45.58490566037736	7584.0	7124.075471698113	voice
45	3050	1	66	1.0	0.8333333333333334	66.0	56.48148148148148	2416	377576	48	7584	48.0	45.58490566037736	7584.0	7124.075471698113	voice
45	3050	1	66	1.0	0.8333333333333334	66.0	56.48148148148148	2437	380807	21	3231	21.0	45.129629629629626	3231.0	7051.981481481482	voice
54	3666	9	616	9.0	0.9818181818181818	616.0	66.65454545454546	2437	380807	21	3231	21.0	45.129629629629626	3231.0	7051.981481481482	voice
54	3666	9	616	9.0	0.9818181818181818	616.0	66.65454545454546	2474	385862	37	5055	37.0	44.981818181818184	5055.0	7015.672727272728	voice
54	3666	0	0	0.0	0.9642857142857143	0.0	65.46428571428571	2474	385862	37	5055	37.0	44.981818181818184	5055.0	7015.672727272728	voice
54	3666	0	0	0.0	0.9642857142857143	0.0	65.46428571428571	2519	392972	45	7110	45.0	44.982142857142854	7110.0	7017.357142857143	voice
54	3666	0	0	0.0	0.9473684210526315	0.0	64.3157894736842	2519	392972	45	7110	45.0	44.982142857142854	7110.0	7017.357142857143	voice
54	3666	0	0	0.0	0.9473684210526315	0.0	64.3157894736842	2564	400082	45	7110	45.0	44.98245614035088	7110.0	7018.982456140351	voice
54	3666	0	0	0.0	0.9310344827586207	0.0	63.206896551724135	2564	400082	45	7110	45.0	44.98245614035088	7110.0	7018.982456140351	voice
54	3666	0	0	0.0	0.9310344827586207	0.0	63.206896551724135	2612	407666	48	7584	48.0	45.03448275862069	7584.0	7028.724137931034	voice
54	3666	0	0	0.0	0.9152542372881356	0.0	62.13559322033898	2612	407666	48	7584	48.0	45.03448275862069	7584.0	7028.724137931034	voice
54	3666	0	0	0.0	0.9152542372881356	0.0	62.13559322033898	2660	415250	48	7584	48.0	45.08474576271186	7584.0	7038.135593220339	voice
54	3666	0	0	0.0	0.9	0.0	61.1	2660	415250	48	7584	48.0	45.08474576271186	7584.0	7038.135593220339	voice
54	3666	0	0	0.0	0.9	0.0	61.1	2708	422834	48	7584	48.0	45.13333333333333	7584.0	7047.233333333334	voice
